geo,year,brecha_general,tasa_stem,nace_r2,brecha_sector,country_name,gggi_eas,gggi_ggi,gggi_pos
IT,2013,7.0,11.4,K,24.9,Italy,0.99,0.7,0.57
IT,2013,7.0,11.4,M,28.9,Italy,0.99,0.7,0.57
IT,2013,7.0,11.4,P,6.1,Italy,0.99,0.7,0.57
IT,2013,7.0,11.4,Q,28.6,Italy,0.99,0.7,0.57
LT,2013,12.2,13.1,B,6.0,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,B-N,16.8,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,B-S,11.5,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,B-S_X_O,12.2,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,C,26.2,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,D,9.9,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,E,15.1,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,F,-1.2,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,G,22.0,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,H,-3.9,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,I,9.3,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,J,27.8,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,K,39.9,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,L,15.2,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,M,19.8,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,N,12.5,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,O,4.1,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,P,-0.1,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,Q,28.3,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,R,12.3,Lithuania,0.99,0.72,0.74
LT,2013,12.2,13.1,S,18.1,Lithuania,0.99,0.72,0.74
LU,2013,6.2,2.3,B-N,13.9,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,B-S_X_O,6.2,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,C,15.8,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,D,-1.0,Luxembourg,1.0,0.73,0.75
LU,2013,6.2,2.3,E,-9.8,Luxembourg,1.0,0.73,0.75
